Time1,A2_soil_moisture_in_cb,A3_soil_moisture_in_cb,A4_soil_moisture_in_cb,mean_of_tension,A2_soil_moisture_in_cb_vol,A3_soil_moisture_in_cb_vol,A4_soil_moisture_in_cb_vol,mean_of_volumetreic
2023-01-20 00:00:00+01:00,51.72957737345091,62.446376772894375,61.736428369794574,58.63746083871328,28.447887330467793,27.68240165907897,27.733112259300384,27.954467082949048
2023-01-21 00:00:00+01:00,53.46442963772972,63.84604307215849,63.126086967578836,60.14551989248901,28.323969311590737,27.58242549484582,27.633850930887228,27.846748579107924
2023-01-22 00:00:00+01:00,55.36027398827958,65.02397249822747,64.11901420270893,61.50108689640532,28.188551857980027,27.498287678698034,27.56292755694936,27.749922364542474
2023-01-23 00:00:00+01:00,57.671621631931615,66.01760584871533,65.25436293838808,62.98119680634502,28.02345559771917,27.427313867948904,27.481831218686565,27.644200228118212
2023-01-24 00:00:00+01:00,59.2019607194888,66.76901438538458,66.03931084994612,64.0034286516065,27.91414566289366,27.373641829615387,27.42576351071813,27.571183667742392
2023-01-25 00:00:00+01:00,60.77848106094554,67.44117657031889,67.04545465215936,65.08837076114126,27.801537067075316,27.325630244977223,27.353896096274333,27.49368780277562
2023-01-26 00:00:00+01:00,62.789115724109465,68.15294098698236,68.02158251426202,66.32121307511795,27.657920305420753,27.27478992950126,27.28417267755271,27.405627637491573
2023-01-27 00:00:00+01:00,64.56834570795512,68.68402814865112,68.60466603597006,67.28567996419211,27.530832449431774,27.236855132239207,27.24252385457357,27.336737145414855
2023-01-28 00:00:00+01:00,65.41592319755797,68.8007201050683,68.79629640932437,67.67097990398355,27.47029120017443,27.22851999249512,27.228835970762542,27.30921572114403
2023-01-29 00:00:00+01:00,66.72222227520413,69.03489946198944,69.40656904234503,68.38789692651288,27.376984123199705,27.211792895572184,27.185245068403923,27.258007362391936
2023-01-30 00:00:00+01:00,68.02702702702703,69.2479726430532,70.00208282470703,69.09236083159576,27.283783783783782,27.196573382639055,27.142708369663783,27.20768851202887
2023-01-31 00:00:00+01:00,69.45436229321781,69.5675860174771,70.90437929473654,69.97544253514381,27.181831264770157,27.173743855894493,27.07825862180453,27.144611247489724
2023-02-01 00:00:00+01:00,70.82275853650323,69.88767101340098,71.47194194107604,70.72745716366008,27.08408867596405,27.15088064189993,27.037718432780284,27.090895916881422
2023-02-02 00:00:00+01:00,71.82465707439266,70.00283613272593,71.93897011700798,71.25548777470887,27.01252449468624,27.14265456194815,27.00435927735657,27.05317944466365
2023-02-03 00:00:00+01:00,72.9253332010905,70.06884102199389,72.75034469078327,71.91483963795588,26.93390477135068,27.13793992700044,26.946403950658336,27.00608288300315
2023-02-04 00:00:00+01:00,74.60422548106018,70.50324660462219,73.78000030517578,72.96249079695272,26.813983894209986,27.1069109568127,26.872857121058875,26.931250657360522
2023-02-05 00:00:00+01:00,76.5448978969029,71.16301403306935,75.47397252958115,74.3939614865178,26.675364435935506,27.05978471192362,26.75185910502992,26.829002750963014
2023-02-06 00:00:00+01:00,77.17218548098937,71.31901501937651,76.59926476198085,75.03015508744892,26.63055817992933,27.04864178433025,26.67148108842994,26.783560350896508
2023-02-07 00:00:00+01:00,78.55394739853709,71.26326575246797,77.5368053648207,75.78467283860859,26.531860900104494,27.052623874823716,26.604513902512807,26.729666225813673
2023-02-08 00:00:00+01:00,78.63986525664458,70.92553240187625,78.02789073087732,75.86442946313272,26.525723910239673,27.076747685580266,26.569436376365907,26.723969324061944
2023-02-09 00:00:00+01:00,77.7955224905441,70.95735314313103,72.01933303833007,73.59073622400173,26.58603410781828,27.074474775490643,26.99861906869071,26.88637598399988
2023-02-10 00:00:00+01:00,75.38523475595768,70.74397142559079,67.30496502598972,71.14472373584606,26.758197517431594,27.089716326743513,27.335359641000736,27.061091161725283
2023-02-11 00:00:00+01:00,73.04791694217258,70.11690166634573,64.80551165483129,69.32344342111654,26.925148789844815,27.134507023832448,27.513892024654908,27.191182612777393
2023-02-12 00:00:00+01:00,69.83311270404336,68.99929589284977,62.69448286911537,67.1756304886695,27.154777663996903,27.21433600765359,27.664679795063186,27.344597822237898
2023-02-13 00:00:00+01:00,66.60739443335734,67.45246486932459,60.884883703187455,64.98158100195646,27.38518611190305,27.324823937905386,27.79393687834375,27.50131564271739
