Time1,A2_soil_moisture_in_cb,A3_soil_moisture_in_cb,A4_soil_moisture_in_cb,A2_soil_moisture_in_cb_vol,A3_soil_moisture_in_cb_vol,A4_soil_moisture_in_cb_vol
2023-03-08 11:00:00+01:00,78.57,57.46,75.07,26.530714285714286,28.03857142857143,26.780714285714286
2023-03-08 12:00:00+01:00,78.8,57.49,75.04,26.514285714285712,28.036428571428573,26.782857142857143
2023-03-08 13:00:00+01:00,79.21,57.66,75.32,26.485000000000003,28.024285714285714,26.762857142857143
2023-03-08 14:00:00+01:00,79.79,57.65,75.43,26.443571428571428,28.025,26.755000000000003
2023-03-08 15:00:00+01:00,80.5,57.79,75.56,26.39285714285714,28.015,26.745714285714286
2023-03-08 16:00:00+01:00,81.59,57.96,75.69,26.314999999999998,28.002857142857142,26.736428571428572
2023-03-08 17:00:00+01:00,82.57,57.98,75.9,26.245,28.001428571428573,26.721428571428568
2023-03-08 18:00:00+01:00,83.47,58.04,76.09,26.180714285714284,27.997142857142855,26.707857142857144
2023-03-08 19:00:00+01:00,84.4,58.06,76.27,26.114285714285714,27.995714285714286,26.695
2023-03-08 20:00:00+01:00,84.8,58.08,76.44,26.085714285714285,27.994285714285716,26.68285714285714
2023-03-08 21:00:00+01:00,84.86,58.08,76.52,26.08142857142857,27.994285714285716,26.677142857142854
2023-03-08 22:00:00+01:00,84.7,58.1,76.6,26.09285714285714,27.99285714285714,26.671428571428574
2023-03-08 23:00:00+01:00,84.11,57.95,76.62,26.134999999999998,28.003571428571426,26.669999999999998
2023-03-09 00:00:00+01:00,83.35,57.97,76.53,26.189285714285717,28.002142857142857,26.676428571428573
2023-03-09 01:00:00+01:00,82.72,58.06,76.54,26.234285714285715,27.995714285714286,26.675714285714285
2023-03-09 02:00:00+01:00,82.39,58.08,76.58,26.257857142857144,27.994285714285716,26.672857142857143
2023-03-09 03:00:00+01:00,81.79,57.98,76.47,26.30071428571428,28.001428571428573,26.680714285714284
2023-03-09 04:00:00+01:00,81.45,58.09,76.5,26.325,27.99357142857143,26.67857142857143
2023-03-09 05:00:00+01:00,81.34,58.1,76.5,26.33285714285714,27.99285714285714,26.67857142857143
2023-03-09 06:00:00+01:00,80.83,57.98,76.32,26.369285714285716,28.001428571428573,26.69142857142857
2023-03-09 07:00:00+01:00,80.53,58.0,76.25,26.390714285714285,27.999999999999996,26.69642857142857
2023-03-09 08:00:00+01:00,80.34,58.03,76.26,26.404285714285713,27.997857142857143,26.695714285714285
2023-03-09 09:00:00+01:00,80.01,57.89,76.16,26.427857142857142,28.00785714285714,26.702857142857145
2023-03-09 10:00:00+01:00,79.54,57.83,76.01,26.46142857142857,28.01214285714286,26.713571428571427
2023-03-09 11:00:00+01:00,79.25,57.81,75.97,26.482142857142854,28.013571428571428,26.71642857142857
2023-03-09 12:00:00+01:00,79.25,57.88,76.07,26.482142857142854,28.00857142857143,26.709285714285713
2023-03-09 13:00:00+01:00,79.93,58.06,76.3,26.43357142857143,27.995714285714286,26.69285714285714
