"Time","638de53168f31919048f189d, 63932c6e68f319085df375b5; B2_solar_x2_03, Soil_tension","638de53168f31919048f189d, 63932c6e68f319085df375b7; B2_solar_x2_03, Resistance","638de53168f31919048f189d, 63932c6e68f319085df375b9; B2_solar_x2_03, Soil_temperature","638de56a68f31919048f189e, 63932ce468f319085df375cb; B3_solar_x1_02, Resistance","638de57568f31919048f189f, 63932c3668f319085df375ab; B4_solar_x1_03, Soil_tension","638de57568f31919048f189f, 63932c3668f319085df375ad; B4_solar_x1_03, Resistance","638de57568f31919048f189f, 63932c3668f319085df375af; B4_solar_x1_03, Soil_temperature"
"2023-02-09 07:00:00 +0000 UTC",6.5,86.7,10.7,129.60001,9.9,133.39999,11.7
"2023-02-09 07:10:00 +0000 UTC",6.6,87.2,10.7,130.7,9.9,133.39999,11.7
"2023-02-09 07:20:00 +0000 UTC",6.6,87.2,10.6,130.10001,9.9,134,11.7
"2023-02-09 07:30:00 +0000 UTC",6.6,87.2,10.6,130.7,9.9,134,11.6
"2023-02-09 07:40:00 +0000 UTC",6.7,87.3,10.6,130.7,9.9,133.75,11.65
"2023-02-09 07:50:00 +0000 UTC",6.8,87.8,10.6,130.7,9.9,134.10001,11.6
"2023-02-09 08:00:00 +0000 UTC",6.8,87.8,10.6,130.7,9.9,134.10001,11.6
"2023-02-09 08:10:00 +0000 UTC",6.8,87.8,10.5,130.7,9.9,133.5,11.6
"2023-02-09 08:20:00 +0000 UTC",6.8,87.8,10.5,130.7,9.9,134.10001,11.6
"2023-02-09 08:30:00 +0000 UTC",6.8,87.8,10.5,131.3,9.9,134.2,11.6
"2023-02-09 08:40:00 +0000 UTC",6.8,87.8,10.5,131.3,9.9,134.2,11.6
"2023-02-09 08:50:00 +0000 UTC",6.8,87.8,10.5,131.3,9.9,134.3,11.5
"2023-02-09 09:00:00 +0000 UTC",6.8,87.8,10.5,131.3,9.9,134.2,11.5
"2023-02-09 09:10:00 +0000 UTC",6.8,87.9,10.5,131.3,9.9,134.8,11.5
"2023-02-09 09:20:00 +0000 UTC",6.8,87.9,10.5,131.39999,9.9,134.8,11.5
"2023-02-09 09:30:00 +0000 UTC",6.9,88.3,10.5,131.89999,9.9,134.8,11.5
"2023-02-09 09:40:00 +0000 UTC",6.8,87.9,10.5,131.8,9.9,134.8,11.5
"2023-02-09 09:50:00 +0000 UTC",6.8,87.8,10.5,131.39999,9.9,135.3,11.5
"2023-02-09 10:00:00 +0000 UTC",6.9,88.4,10.6,131.3,9.9,134.8,11.5
"2023-02-09 10:10:00 +0000 UTC",7,88.9,10.5,130.8,9.9,134.8,11.5
"2023-02-09 10:20:00 +0000 UTC",6.9,88.4,10.6,131.8,9.9,134.8,11.5
"2023-02-09 10:30:00 +0000 UTC",6.9,88.4,10.6,130.8,9.9,134.8,11.5
"2023-02-09 10:40:00 +0000 UTC",6.9,88.4,10.6,130.8,9.9,134.8,11.5
"2023-02-09 10:50:00 +0000 UTC",6.8,87.9,10.6,130.8,9.9,135.3,11.5
"2023-02-09 11:00:00 +0000 UTC",,,,130.8,9.9,135.39999,11.5
"2023-02-09 11:10:00 +0000 UTC",6.9,88.4,10.7,131.8,9.9,134.8,11.5
"2023-02-09 11:20:00 +0000 UTC",6.9,88.4,10.8,130.7,9.9,134.8,11.5
"2023-02-09 11:30:00 +0000 UTC",6.9,88.4,10.8,130.7,9.9,134.8,11.5
"2023-02-09 11:40:00 +0000 UTC",6.9,88.4,10.9,130.7,9.9,135.1,11.5
"2023-02-09 11:50:00 +0000 UTC",6.8,87.8,11,130.2,9.9,134.8,11.5
"2023-02-09 12:00:00 +0000 UTC",6.9,88.4,11,130.10001,9.9,134.8,11.6
"2023-02-09 12:10:00 +0000 UTC",6.9,88.3,11,129.60001,9.9,135.8,11.6
"2023-02-09 12:20:00 +0000 UTC",6.8,87.8,11.1,,9.9,135.39999,11.6
"2023-02-09 12:30:00 +0000 UTC",6.8,87.9,11.1,,9.9,134.8,11.6
"2023-02-09 12:40:00 +0000 UTC",6.9,88.4,11.1,128.89999,,,
"2023-02-09 12:50:00 +0000 UTC",6.9,88.4,11.2,129.5,9.9,135.39999,11.7
"2023-02-09 13:00:00 +0000 UTC",6.9,88.5,11.3,129.39999,9.9,134.8,11.7
"2023-02-09 13:10:00 +0000 UTC",6.8,87.8,11.3,128.89999,9.9,134.3,11.8
"2023-02-09 13:20:00 +0000 UTC",6.8,87.9,11.4,128.3,9.9,134.2,11.8
"2023-02-09 13:30:00 +0000 UTC",6.8,87.9,11.5,128.3,9.9,133.60001,11.8
"2023-02-09 13:40:00 +0000 UTC",6.8,87.8,11.6,128.3,9.9,134.10001,11.8
"2023-02-09 13:50:00 +0000 UTC",6.8,87.9,11.6,128.3,9.9,134.10001,11.9
"2023-02-09 14:00:00 +0000 UTC",6.8,87.9,11.7,128.3,9.9,134.10001,12
"2023-02-09 14:10:00 +0000 UTC",,,,128.2,9.9,133.60001,12
"2023-02-09 14:20:00 +0000 UTC",6.6,87.3,11.8,127.6,9.9,133,12
"2023-02-09 14:30:00 +0000 UTC",6.6,87.3,11.9,127.1,9.9,133,12.1
"2023-02-09 14:40:00 +0000 UTC",6.6,87.3,12,127.1,9.9,133,12.1
"2023-02-09 14:50:00 +0000 UTC",6.6,87.3,12,126.5,9.9,133.39999,12.1
"2023-02-09 15:00:00 +0000 UTC",6.6,87.3,12.1,126.9,9.9,133.39999,12.2
"2023-02-09 15:10:00 +0000 UTC",6.5,86.7,12.1,125.8,9.9,133.3,12.2
"2023-02-09 15:20:00 +0000 UTC",6.2,85.6,12.3,124.9,9.9,132.3,12.3
"2023-02-09 15:30:00 +0000 UTC",5.65,83.2,12.35,123.9,9.9,132.3,12.4
"2023-02-09 15:40:00 +0000 UTC",4.8,79.2,12.5,123.2,9.9,131.6,12.45
"2023-02-09 15:50:00 +0000 UTC",4.1,76.4,12.5,121.5,9.85,130.39999,12.5
"2023-02-09 16:00:00 +0000 UTC",3.5,73.6,12.6,120.2,9.8,129.8,12.5
"2023-02-09 16:10:00 +0000 UTC",2.8,70.8,12.6,118.9,9.8,128.60001,12.6
"2023-02-09 16:20:00 +0000 UTC",2.3,68.6,12.7,117.2,9.8,127.9,12.6
"2023-02-09 16:30:00 +0000 UTC",1.8,66.4,12.7,115.9,9.75,127.2,12.7
