iter	Passed	Remaining
799	1641	410
800	1643	408
801	1645	406
802	1647	404
803	1649	401
804	1650	399
805	1652	397
806	1654	395
807	1656	393
808	1658	391
809	1659	389
810	1661	387
811	1663	385
812	1664	382
813	1666	380
814	1668	378
815	1669	376
816	1671	374
817	1673	372
818	1675	370
819	1677	368
820	1679	366
821	1680	363
822	1682	361
823	1684	359
824	1686	357
825	1688	355
826	1689	353
827	1691	351
828	1693	349
829	1695	347
830	1697	345
831	1698	343
832	1700	340
833	1702	338
834	1704	336
835	1705	334
836	1707	332
837	1709	330
838	1711	328
839	1712	326
840	1714	324
841	1716	322
842	1718	320
843	1720	318
844	1722	316
845	1724	313
846	1726	311
847	1728	309
848	1730	307
849	1732	305
850	1734	303
851	1736	301
852	1738	299
853	1740	297
854	1741	295
855	1743	293
856	1745	291
857	1747	289
858	1749	287
859	1751	285
860	1752	282
861	1754	280
862	1756	278
863	1757	276
864	1759	274
865	1761	272
866	1762	270
867	1764	268
868	1766	266
869	1768	264
870	1769	262
871	1771	260
872	1773	258
873	1775	255
874	1777	253
875	1779	251
876	1780	249
877	1782	247
878	1784	245
879	1786	243
880	1787	241
881	1789	239
882	1791	237
883	1792	235
884	1794	233
885	1795	231
886	1797	228
887	1798	226
888	1800	224
889	1801	222
890	1803	220
891	1804	218
892	1806	216
893	1808	214
894	1810	212
895	1812	210
896	1813	208
897	1815	206
898	1817	204
899	1819	202
900	1820	200
901	1822	198
902	1824	195
903	1825	193
904	1827	191
905	1829	189
906	1831	187
907	1833	185
908	1835	183
909	1837	181
910	1838	179
911	1840	177
912	1842	175
913	1843	173
914	1845	171
915	1846	169
916	1848	167
917	1850	165
918	1851	163
919	1853	161
920	1855	159
921	1856	157
922	1858	155
923	1860	152
924	1861	150
925	1863	148
926	1865	146
927	1866	144
928	1869	142
929	1870	140
930	1872	138
931	1873	136
932	1875	134
933	1877	132
934	1878	130
935	1880	128
936	1882	126
937	1883	124
938	1885	122
939	1887	120
940	1888	118
941	1890	116
942	1891	114
943	1893	112
944	1895	110
945	1896	108
946	1898	106
947	1900	104
948	1901	102
949	1903	100
950	1905	98
951	1907	96
952	1908	94
953	1910	92
954	1912	90
955	1913	88
956	1915	86
957	1917	84
958	1919	82
959	1920	80
960	1922	78
961	1924	76
962	1925	73
963	1927	71
964	1929	69
965	1931	67
966	1932	65
967	1934	63
968	1935	61
969	1937	59
970	1938	57
971	1939	55
972	1941	53
973	1942	51
974	1944	49
975	1945	47
976	1946	45
977	1948	43
978	1949	41
979	1950	39
980	1952	37
981	1953	35
982	1955	33
983	1956	31
984	1958	29
985	1959	27
986	1960	25
987	1962	23
988	1963	21
989	1965	19
990	1966	17
991	1967	15
992	1968	13
993	1970	11
994	1971	9
995	1972	7
996	1973	5
997	1975	3
998	1976	1
999	1978	0
